codigo,produto,valor
I110181101,PESSEGO SAVORS,0
I109181101,LIMÃO SAVORS,0
I136100002,AÇÚCAR SACHÊ (cx 400 un),172
I156180001,PALHETA EMBALADA,0.0539
I147002101,COPO PAPEL 160ml - cx 1000,120
I179202101,COPO PAPEL 160ml KRAFT c/logo - cx 1000,120
I147001901,COPO PAPEL 110ml - cx 1000,194.30
I135130001,AÇÚCAR CRYSTAL 1KG,3.88
I117230001,LEITE CAMPONESA,13.75
I167102201,XÍCARA 65ml,16.48
I166101601,XÍCARA 180ml,16.48
I109270001,CHÁ LIMÃO,18.60
I110270001,CHÁ PÊSSEGO,18.60
I180270001,CHÁ FRUTAS VERMELHAS,18.60
I112260001,CHOCOLATE ASSAGGI,25.25
I104260001,CAFE COM LEITE ASSAGGI,27
I106260001,CAPP CANELA ASSAGGI,28
I142120001,BEVAN CAPP,33.90
I143120001,BEVAN CHOC,33.90
I140110001,CAFÉ COM LEITE AMERICA,34.90
I143110001,CHOCOLATE S/ ADIÇÃO AÇÚCAR AMERICA,38.90
I104101201,CAFÉ COM LEITE,45.05
I141110001,CAPP AMERIC S/ AÇÚCAR,46.80
I106101201,CAPP FOOD,47.88
I112101201,CHOCOLATE QUENTE,48.23
I105100001,CAFÉ COM LEITE ZERO,49.56
I106100001,CAPP ZERO,53.10
I100095801,ASSAGGI GRÃO,55
I100110001,GRÃO VENDING,63.90
I100081001,CAFÉ EM GRÃO TORRA ITALIANA,68.90
I100101101,GRÃO PREMIUM,80
I100101001,GRÃO GOURMET,80
I100730001,CAFÉ TORRADO GRÃO CLÁSSICO ORFEU,88
I102260001,CAFÉ SOLÚVEL LIOFILIZADO,153
I101280001,CAFÉ SOLÚVEL ILLY,195
I100280001,GRÃO CLÁSSICO ILLY,277.50
